RED_14_RED_15,2018-08-22 12:23:59,1404.0
RED_14_RED_17,2018-08-22 12:01:10,1419.0
RED_14_RED_18,2018-08-22 12:23:12,681.0
RED_14_RED_19,2018-08-22 12:23:17,650.0
GREEN_14_GREEN_15,2018-08-22 12:23:59,1035.0
GREEN_14_GREEN_17,2018-08-22 12:01:10,1082.0
GREEN_14_GREEN_18,2018-08-22 12:23:12,561.0
GREEN_14_GREEN_19,2018-08-22 12:23:17,508.0
BLUE_14_BLUE_15,2018-08-22 12:23:59,623.0
BLUE_14_BLUE_17,2018-08-22 12:01:10,702.0
BLUE_14_BLUE_18,2018-08-22 12:23:12,365.0
BLUE_14_BLUE_19,2018-08-22 12:23:17,342.0
CLEAR_14_CLEAR_15,2018-08-22 12:23:59,2855.0
CLEAR_14_CLEAR_17,2018-08-22 12:01:10,2897.0
CLEAR_14_CLEAR_18,2018-08-22 12:23:12,1451.0
CLEAR_14_CLEAR_19,2018-08-22 12:23:17,1370.0
RED_15_RED_17,2018-08-22 12:01:10,1124.0
RED_15_RED_18,2018-08-22 12:23:51,1413.0
RED_15_RED_19,2018-08-22 12:23:59,1345.0
GREEN_15_GREEN_17,2018-08-22 12:01:10,865.0
GREEN_15_GREEN_18,2018-08-22 12:23:51,1063.0
GREEN_15_GREEN_19,2018-08-22 12:23:59,1001.0
BLUE_15_BLUE_17,2018-08-22 12:01:10,583.0
BLUE_15_BLUE_18,2018-08-22 12:23:51,652.0
BLUE_15_BLUE_19,2018-08-22 12:23:59,617.0
CLEAR_15_CLEAR_17,2018-08-22 12:01:10,2294.0
CLEAR_15_CLEAR_18,2018-08-22 12:23:51,2891.0
CLEAR_15_CLEAR_19,2018-08-22 12:23:59,2752.0
RED_17_RED_18,2018-08-22 12:23:51,1318.0
RED_17_RED_19,2018-08-22 12:01:10,1269.0
GREEN_17_GREEN_18,2018-08-22 12:23:51,1015.0
GREEN_17_GREEN_19,2018-08-22 12:01:10,986.0
BLUE_17_BLUE_18,2018-08-22 12:01:10,675.0
BLUE_17_BLUE_19,2018-08-22 12:01:10,672.0
CLEAR_17_CLEAR_18,2018-08-22 12:23:51,2692.0
CLEAR_17_CLEAR_19,2018-08-22 12:01:10,2621.0
RED_18_RED_19,2018-08-22 12:13:48,790.0
GREEN_18_GREEN_19,2018-08-22 12:13:48,604.0
BLUE_18_BLUE_19,2018-08-22 12:13:48,352.0
CLEAR_18_CLEAR_19,2018-08-22 12:13:48,1605.0
